,year,size_sex,cpue,d95
57,1997,male61to90,14921.42314,36892
63,1998,male61to90,5837.932167,34085
69,1999,male61to90,2370.221043,34887
75,2000,male61to90,3498.467431,26466
81,2001,male61to90,16275.30398,21253
87,2002,male61to90,4872.050549,25263
93,2003,male61to90,5302.539102,23258
99,2004,male61to90,5914.268071,18847
105,2005,male61to90,16198.90372,20050
111,2006,male61to90,9045.665721,24862
117,2007,male61to90,7871.23531,31278
123,2008,male61to90,7774.682101,28070
129,2009,male61to90,5815.430574,34486
135,2010,male61to90,6837.662672,30075
141,2011,male61to90,11697.85005,28872
147,2012,male61to90,8894.263124,32080
153,2013,male61to90,6402.650283,30877
159,2014,male61to90,7463.257781,31278
165,2015,male61to90,5096.382263,29674
171,2016,male61to90,3411.819425,26466
177,2017,male61to90,9461.09306,17644
183,2018,male61to90,28473.58586,19248
189,2019,male61to90,18930.92304,18045
4,1988,male91to120,5019.610459,26065
10,1989,male91to120,5763.515049,29674
16,1990,male91to120,12078.92012,23659
22,1991,male91to120,8769.39893,28070
28,1992,male91to120,4601.095684,33684
34,1993,male91to120,3326.095616,30476
40,1994,male91to120,2003.150907,28471
46,1995,male91to120,2006.333445,23659
52,1996,male91to120,4941.14699,26466
58,1997,male91to120,7959.34605,29273
64,1998,male91to120,5027.572079,30877
70,1999,male91to120,1825.070203,31278
76,2000,male91to120,1339.257064,28070
82,2001,male91to120,2155.04025,31278
88,2002,male91to120,2205.843067,21253
94,2003,male91to120,1974.161706,25664
100,2004,male91to120,1548.022643,26867
106,2005,male91to120,1690.497496,29273
112,2006,male91to120,3264.997305,22055
118,2007,male91to120,3969.330993,25664
124,2008,male91to120,2761.117473,29674
130,2009,male91to120,3588.637627,28872
136,2010,male91to120,2780.202473,24862
142,2011,male91to120,2662.56397,22055
148,2012,male91to120,1549.556079,22857
154,2013,male91to120,1559.081608,23659
160,2014,male91to120,2820.845407,22456
166,2015,male91to120,1150.564471,26867
172,2016,male91to120,953.277303,28471
178,2017,male91to120,1120.814593,26466
184,2018,male91to120,2752.597948,22055
190,2019,male91to120,2881.316798,18045
5,1988,mature_female,48163.74384,20852
11,1989,mature_female,86918.57497,16441
17,1990,mature_female,44666.61796,19649
23,1991,mature_female,44280.83816,16441
29,1992,mature_female,38274.48167,20852
35,1993,mature_female,42154.09236,19248
41,1994,mature_female,36605.96738,24862
47,1995,mature_female,54007.47912,23258
53,1996,mature_female,33558.90495,18847
59,1997,mature_female,38589.74987,13634
65,1998,mature_female,20529.29614,13233
71,1999,mature_female,9384.997956,14837
77,2000,mature_female,19802.15119,10827
83,2001,mature_female,25275.47207,11228
89,2002,mature_female,9395.340177,10426
95,2003,mature_female,12653.03063,8822
101,2004,mature_female,17476.33244,12431
107,2005,mature_female,23064.42819,12030
113,2006,mature_female,13929.05859,16040
119,2007,mature_female,16493.55957,18446
125,2008,mature_female,13128.64341,21253
131,2009,mature_female,14269.00617,18446
137,2010,mature_female,34922.06876,19248
143,2011,mature_female,50240.65669,21654
149,2012,mature_female,35354.41832,22456
155,2013,mature_female,26882.29694,17644
161,2014,mature_female,22512.89676,12832
167,2015,mature_female,19911.83216,11629
173,2016,mature_female,11940.51175,12431
179,2017,mature_female,39515.46629,14837
185,2018,mature_female,62246.95833,12431
191,2019,mature_female,36041.43254,12832
6,1988,pop,119338.4884,27669
12,1989,pop,152196.1013,30877
18,1990,pop,113135.7948,31278
24,1991,pop,112915.739,32080
30,1992,pop,103348.9635,29273
36,1993,pop,138292.1719,23258
42,1994,pop,131582.5521,24862
48,1995,pop,124060.6705,30877
54,1996,pop,79719.08662,35288
60,1997,pop,68903.87697,35288
66,1998,pop,42167.4237,30476
72,1999,pop,18092.32817,30075
78,2000,pop,38512.1469,18847
84,2001,pop,64704.54183,21253
90,2002,pop,21948.50123,21253
96,2003,pop,42840.71208,16040
102,2004,pop,74921.26904,17243
108,2005,pop,83116.69267,21654
114,2006,pop,42779.18148,22055
120,2007,pop,46833.90536,27268
126,2008,pop,28617.51709,31679
132,2009,pop,50599.4737,30476
138,2010,pop,134587.9663,22857
144,2011,pop,106144.8159,28872
150,2012,pop,77322.90384,28872
156,2013,pop,61645.6178,28070
162,2014,pop,54041.28579,28872
168,2015,pop,70594.08671,18446
174,2016,pop,94061.07022,14035
180,2017,pop,145857.8147,17243
186,2018,pop,194198.0266,18847
192,2019,pop,66475.80766,18446
