"","SURVEY_YEA","LAT","LON","SizeSex"
"157",2016,60.8495,-172.752,"FEMALE_IMM"
"158",2017,60.9255,-173.026,"FEMALE_IMM"
"159",2018,60.7876,-172.724,"FEMALE_IMM"
"160",2019,61.3049,-172.526,"FEMALE_IMM"
"161",1988,59.4172,-172.165,"FEMALE_MAT"
"162",1989,59.3474,-174.114,"FEMALE_MAT"
"163",1990,59.2129,-173.765,"FEMALE_MAT"
"164",1991,59.3484,-174.207,"FEMALE_MAT"
"165",1992,59.0178,-172.663,"FEMALE_MAT"
"166",1993,59.9662,-173.296,"FEMALE_MAT"
"167",1994,59.1349,-171.21,"FEMALE_MAT"
"168",1995,59.2498,-172.891,"FEMALE_MAT"
"169",1996,59.4904,-173.991,"FEMALE_MAT"
"170",1997,59.7346,-174.212,"FEMALE_MAT"
"171",1998,59.5476,-174.243,"FEMALE_MAT"
"172",1999,59.5775,-173.842,"FEMALE_MAT"
"173",2000,59.2252,-172.939,"FEMALE_MAT"
"174",2001,60.023,-173.851,"FEMALE_MAT"
"175",2002,59.4216,-173.972,"FEMALE_MAT"
"176",2003,58.9799,-173.035,"FEMALE_MAT"
"177",2004,59.7439,-172.874,"FEMALE_MAT"
"178",2005,59.8232,-173.422,"FEMALE_MAT"
"179",2006,59.2084,-172.741,"FEMALE_MAT"
"180",2007,59.0363,-172.218,"FEMALE_MAT"
"181",2008,58.9351,-172.107,"FEMALE_MAT"
"182",2009,59.0213,-172.536,"FEMALE_MAT"
"183",2010,60.1917,-173.596,"FEMALE_MAT"
"184",2011,59.9901,-174.878,"FEMALE_MAT"
"185",2012,59.4733,-174.26,"FEMALE_MAT"
"186",2013,59.2986,-173.956,"FEMALE_MAT"
"187",2014,58.8369,-173.288,"FEMALE_MAT"
"188",2015,58.5472,-172.083,"FEMALE_MAT"
"189",2016,58.6021,-172.128,"FEMALE_MAT"
"190",2017,59.8032,-173.244,"FEMALE_MAT"
"191",2018,59.813,-173.107,"FEMALE_MAT"
"192",2019,60.0819,-173.584,"FEMALE_MAT"
