SURVEY_YEAR,REGION,SIZE1,ABUN_FEMALE_IMM,ABUN_FEM_MAT,TOTAL_ABUN
2019,EBS,14,0,0,0
2019,EBS,15,28866.44,0,28866.44
2019,EBS,16,104916.26,0,104916.26
2019,EBS,17,45036.3,0,45036.3
2019,EBS,18,16882.22,0,16882.22
2019,EBS,19,34142.02,0,34142.02
2019,EBS,20,0,0,0
2019,EBS,21,29967.87,0,29967.87
2019,EBS,22,31025.29,0,31025.29
2019,EBS,23,64261.46,0,64261.46
2019,EBS,24,16527.07,0,16527.07
2019,EBS,25,51504.57,0,51504.57
2019,EBS,26,44980.64,0,44980.64
2019,EBS,27,125243.01,0,125243.01
2019,EBS,28,274842.83,0,274842.83
2019,EBS,29,162858.21,0,162858.21
2019,EBS,30,34981.87,679475.72,714457.59
2019,EBS,31,330140.49,0,330140.49
2019,EBS,32,55158.71,0,55158.71
2019,EBS,33,111239.02,0,111239.02
2019,EBS,34,28774.05,0,28774.05
2019,EBS,35,59460.33,0,59460.33
2019,EBS,36,45355.18,0,45355.18
2019,EBS,37,211727.17,381931.33,593658.5
2019,EBS,38,155371.34,1632746.57,1788117.91
2019,EBS,39,776758.56,3332019.85,4108778.41
2019,EBS,40,753667.92,8519225.49,9272893.41
2019,EBS,41,218727.35,10876531.17,11095258.52
2019,EBS,42,1469924.02,16430498.02,17900422.04
2019,EBS,43,2359170.65,29495864.52,31855035.17
2019,EBS,44,1683883.44,34959765.2,36643648.64
2019,EBS,45,1955127.2,62504270.68,64459397.88
2019,EBS,46,3403563.7,78769421.89,82172985.59
2019,EBS,47,4551447.53,91161722.81,95713170.34
2019,EBS,48,11153179.43,140348410,151501589.4
2019,EBS,49,9894649.22,158717684.5,168612333.7
2019,EBS,50,15011501.82,201991274.8,217002776.6
2019,EBS,51,13808775.4,212190718.3,225999493.7
2019,EBS,52,7243995.81,191062007.3,198306003.1
2019,EBS,53,13991613.69,174307328.4,188298942.1
2019,EBS,54,8227835.77,105778310.8,114006146.6
2019,EBS,55,5994961.49,122092128.2,128087089.7
2019,EBS,56,5935081.31,80066835.79,86001917.1
2019,EBS,57,4187121.89,70066918.79,74254040.68
2019,EBS,58,1886672.75,50319554.23,52206226.98
2019,EBS,59,297330.11,36516317.74,36813647.85
2019,EBS,60,28823.87,20701552.27,20730376.14
2019,EBS,61,170170.21,30355463.73,30525633.94
2019,EBS,62,0,17299604.12,17299604.12
2019,EBS,63,0,21880556.16,21880556.16
2019,EBS,64,179148.33,15980772.61,16159920.94
2019,EBS,65,0,14194913.35,14194913.35
2019,EBS,66,0,9366269.02,9366269.02
2019,EBS,67,0,8088609.91,8088609.91
2019,EBS,68,0,3604651.9,3604651.9
2019,EBS,69,0,6111438.71,6111438.71
2019,EBS,70,0,4021045.22,4021045.22
2019,EBS,71,31182.01,4270901.91,4302083.92
2019,EBS,72,0,1275214.81,1275214.81
2019,EBS,73,0,416607.12,416607.12
2019,EBS,74,0,690101.68,690101.68
2019,EBS,75,0,16545.62,16545.62
2019,EBS,76,0,25908.18,25908.18
2019,EBS,77,0,0,0
2019,EBS,78,0,0,0
2019,EBS,79,0,399573.18,399573.18
2010,NBS,11,67861,0,67861
2010,NBS,12,0,0,0
2010,NBS,13,0,0,0
2010,NBS,14,0,0,0
2010,NBS,15,33807,0,33807
2010,NBS,16,64927,0,64927
2010,NBS,17,186339,0,186339
2010,NBS,18,5319084,0,5319084
2010,NBS,19,2458240,0,2458240
2010,NBS,20,12024468,0,12024468
2010,NBS,21,19276916,0,19276916
2010,NBS,22,78661486,0,78661486
2010,NBS,23,63099885,0,63099885
2010,NBS,24,104036061,0,104036061
2010,NBS,25,97994507,0,97994507
2010,NBS,26,94206988,0,94206988
2010,NBS,27,178832815,0,178832815
2010,NBS,28,85253394,0,85253394
2010,NBS,29,98975389,0,98975389
2010,NBS,30,131706831,0,131706831
2010,NBS,31,156372577,339318,156711895
2010,NBS,32,247947585,0,247947585
2010,NBS,33,200807860,0,200807860
2010,NBS,34,209323314,0,209323314
2010,NBS,35,235503986,0,235503986
2010,NBS,36,224687157,0,224687157
2010,NBS,37,279922224,1536166,281458390
2010,NBS,38,303845713,8060168,311905881
2010,NBS,39,241240692,116070,241356762
2010,NBS,40,247020925,13075889,260096814
2010,NBS,41,366129235,6351799,372481034
2010,NBS,42,412862627,16616393,429479020
2010,NBS,43,370185300,7767783,377953083
2010,NBS,44,356139576,7002084,363141660
2010,NBS,45,310816644,39236330,350052974
2010,NBS,46,245761514,16507855,262269369
2010,NBS,47,257561405,16928975,274490380
2010,NBS,48,102617442,38605516,141222958
2010,NBS,49,81460356,41827132,123287488
2010,NBS,50,60105848,42591565,102697413
2010,NBS,51,35767207,46389356,82156563
2010,NBS,52,28200092,39421430,67621522
2010,NBS,53,16450727,26289287,42740014
2010,NBS,54,13666594,20201184,33867778
2010,NBS,55,8281665,20154430,28436095
2010,NBS,56,3685440,16331760,20017200
2010,NBS,57,8903513,10329412,19232925
2010,NBS,58,2004968,8998862,11003830
2010,NBS,59,880804,433676,1314480
2010,NBS,60,309652,2737722,3047374
2010,NBS,61,0,5215705,5215705
2010,NBS,62,0,496912,496912
2010,NBS,63,0,106568,106568
2010,NBS,64,0,7918568,7918568
2010,NBS,65,0,0,0
2010,NBS,66,0,0,0
2010,NBS,67,29809,413354,443163
2017,NBS,6,1376576,0,1376576
2017,NBS,7,1365998,0,1365998
2017,NBS,8,30850,0,30850
2017,NBS,9,61701,0,61701
2017,NBS,10,0,0,0
2017,NBS,11,61701,0,61701
2017,NBS,12,0,0,0
2017,NBS,13,33114,0,33114
2017,NBS,14,94815,0,94815
2017,NBS,15,225006,0,225006
2017,NBS,16,924919,0,924919
2017,NBS,17,830074,0,830074
2017,NBS,18,562932,0,562932
2017,NBS,19,626055,0,626055
2017,NBS,20,1452779,0,1452779
2017,NBS,21,1738619,0,1738619
2017,NBS,22,3551408,0,3551408
2017,NBS,23,12223774,0,12223774
2017,NBS,24,23783499,0,23783499
2017,NBS,25,31190867,0,31190867
2017,NBS,26,52034826,0,52034826
2017,NBS,27,75303338,0,75303338
2017,NBS,28,172183630,0,172183630
2017,NBS,29,263517521,0,263517521
2017,NBS,30,346677570,102491,346780061
2017,NBS,31,338951586,0,338951586
2017,NBS,32,426949163,28287,426977450
2017,NBS,33,439077307,134775,439212082
